iter	Logloss
0	0.6005481745
1	0.5387891814
2	0.4735663957
3	0.4247934043
4	0.3845354448
5	0.3370052319
6	0.3132992285
7	0.2925422612
8	0.2624719036
9	0.239857767
10	0.2270039616
11	0.2138290622
12	0.2070891227
13	0.1964850452
14	0.1895429305
15	0.1773104551
16	0.1664138182
17	0.1568174259
18	0.1506704211
19	0.145342421
20	0.1409505229
21	0.1327725653
22	0.1322377437
23	0.1256957534
24	0.1207458906
25	0.1200150255
26	0.1150039568
27	0.1145240222
28	0.1118881644
29	0.1079376542
30	0.1041956636
31	0.1025419181
32	0.09965042817
33	0.09747885714
34	0.0971150263
35	0.09358240783
36	0.0905833467
37	0.09028218586
38	0.08746962982
39	0.08655573011
40	0.08629068837
41	0.08377126865
42	0.08164954721
43	0.07855481165
44	0.07711096727
45	0.07688690468
46	0.07535302331
47	0.07332039215
48	0.07132966519
49	0.07011232121
50	0.06858115112
51	0.06648160285
52	0.06611927449
53	0.06590940043
54	0.06569143445
55	0.06536574415
56	0.06388937917
57	0.06370445152
58	0.06345130441
59	0.06142741581
60	0.06120894698
61	0.06079807345
62	0.05937443128
63	0.05706572856
64	0.05530250149
65	0.05503591111
66	0.05374956191
67	0.05204878125
68	0.05184423844
69	0.05127869968
70	0.05110463429
71	0.04968106934
72	0.04746002993
73	0.04513434076
74	0.04430887152
75	0.04232817059
76	0.042127867
77	0.04200093323
78	0.04169245931
79	0.0393659154
80	0.03927467419
81	0.03920494234
82	0.03853710367
83	0.03843899478
84	0.03835706594
85	0.03826305521
86	0.0377042241
87	0.03762287876
88	0.03603411218
89	0.03597965461
90	0.03589920473
91	0.03573214465
92	0.03557735197
93	0.03428471399
94	0.03421232051
95	0.03407954039
96	0.03402662055
97	0.03291735337
98	0.03158796566
99	0.03145171702
100	0.03138273568
101	0.03068429615
102	0.02989188239
103	0.02984206302
104	0.02979339
105	0.02947975445
106	0.02944171872
107	0.02914478018
108	0.02910251289
109	0.02803331006
110	0.02745691831
111	0.02639417833
112	0.02634362163
113	0.02631326305
114	0.02626793464
115	0.02543021488
116	0.02538953146
117	0.02535482419
118	0.02532151538
119	0.02529319971
120	0.02506760114
121	0.02460111159
122	0.0245633431
123	0.02453101909
124	0.02448467556
125	0.02444827926
126	0.02390384804
127	0.02387354263
128	0.02384470719
129	0.02381356184
